ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293027GENROM,1929-30,27,18/05/1930,GENOA,ROMA,3.0,1.0
19293027INTALE,1929-30,27,18/05/1930,INTER,ALESSANDRIA,2.0,0.0
19293027JUVBOL,1929-30,27,18/05/1930,JUVENTUS,BOLOGNA,2.0,0.0
19293027LAZBRE,1929-30,27,18/05/1930,LAZIO,BRESCIA,0.0,0.0
19293027LIVTRI,1929-30,27,18/05/1930,LIVORNO,TRIESTINA,2.0,0.0
19293027MODTOR,1929-30,27,18/05/1930,MODENA,TORINO,2.0,1.0
19293027NAPPRO,1929-30,27,18/05/1930,NAPOLI,PRO PATRIA,4.0,2.0
19293027PADPRO,1929-30,27,18/05/1930,PADOVA,PRO VERCELLI,5.0,0.0
19293028ALEMIL,1929-30,28,25/05/1930,ALESSANDRIA,MILAN,2.0,1.0
19293028BOLGEN,1929-30,28,25/05/1930,BOLOGNA,GENOA,0.0,1.0
19293028BREJUV,1929-30,28,25/05/1930,BRESCIA,JUVENTUS,2.0,2.0
19293028INTPRO,1929-30,28,25/05/1930,INTER,PRO PATRIA,8.0,0.0
19293028MODTRI,1929-30,28,25/05/1930,MODENA,TRIESTINA,2.0,1.0
19293028PADLAZ,1929-30,28,25/05/1930,PADOVA,LAZIO,2.0,1.0
19293028PRONAP,1929-30,28,25/05/1930,PRO VERCELLI,NAPOLI,4.0,0.0
19293028ROMLIV,1929-30,28,25/05/1930,ROMA,LIVORNO,2.0,0.0
19293028TORCRE,1929-30,28,25/05/1930,TORINO,CREMONESE,2.0,3.0
19293029ALEBOL,1929-30,29,29/05/1930,ALESSANDRIA,BOLOGNA,2.0,3.0
19293029BREGEN,1929-30,29,29/05/1930,BRESCIA,GENOA,4.0,1.0
19293029JUVTRI,1929-30,29,29/05/1930,JUVENTUS,TRIESTINA,0.0,1.0
19293029LIVCRE,1929-30,29,29/05/1930,LIVORNO,CREMONESE,1.0,1.0
19293029MILPAD,1929-30,29,29/05/1930,MILAN,PADOVA,6.0,0.0
19293029NAPINT,1929-30,29,29/05/1930,NAPOLI,INTER,3.0,1.0
19293029PROLAZ,1929-30,29,29/05/1930,PRO PATRIA,LAZIO,0.0,0.0
19293029PROTOR,1929-30,29,29/05/1930,PRO VERCELLI,TORINO,0.0,2.0
19293029ROMMOD,1929-30,29,29/05/1930,ROMA,MODENA,4.0,2.0
19293030BOLMOD,1929-30,30,01/06/1930,BOLOGNA,MODENA,2.0,1.0
19293030CREPAD,1929-30,30,01/06/1930,CREMONESE,PADOVA,1.0,1.0
19293030GENNAP,1929-30,30,01/06/1930,GENOA,NAPOLI,2.0,2.0
19293030INTBRE,1929-30,30,01/06/1930,INTER,BRESCIA,5.0,1.0
19293030JUVROM,1929-30,30,01/06/1930,JUVENTUS,ROMA,2.0,1.0
19293030LAZTOR,1929-30,30,01/06/1930,LAZIO,TORINO,1.0,0.0
19293030LIVPRO,1929-30,30,01/06/1930,LIVORNO,PRO VERCELLI,1.0,1.0
19293030PROMIL,1929-30,30,01/06/1930,PRO PATRIA,MILAN,2.0,1.0
19293030TRIALE,1929-30,30,01/06/1930,TRIESTINA,ALESSANDRIA,1.0,0.0
19293031ALELIV,1929-30,31,08/06/1930,ALESSANDRIA,LIVORNO,3.0,2.0
19293031BREBOL,1929-30,31,08/06/1930,BRESCIA,BOLOGNA,2.0,0.0
19293031GENJUV,1929-30,31,08/06/1930,GENOA,JUVENTUS,2.0,0.0
19293031MILPRO,1929-30,31,08/06/1930,MILAN,PRO VERCELLI,3.0,0.0
19293031MODCRE,1929-30,31,08/06/1930,MODENA,CREMONESE,5.0,1.0
19293031NAPLAZ,1929-30,31,08/06/1930,NAPOLI,LAZIO,3.0,0.0
19293031PADTRI,1929-30,31,08/06/1930,PADOVA,TRIESTINA,1.0,2.0
19293031ROMPRO,1929-30,31,08/06/1930,ROMA,PRO PATRIA,5.0,0.0
19293031TORINT,1929-30,31,08/06/1930,TORINO,INTER,4.0,1.0
19293032CREBOL,1929-30,32,15/06/1930,CREMONESE,BOLOGNA,0.0,3.0
19293032INTGEN,1929-30,32,15/06/1930,INTER,GENOA,3.0,3.0
19293032JUVPAD,1929-30,32,15/06/1930,JUVENTUS,PADOVA,3.0,1.0
19293032LIVLAZ,1929-30,32,15/06/1930,LIVORNO,LAZIO,4.0,0.0
19293032MODBRE,1929-30,32,15/06/1930,MODENA,BRESCIA,2.0,1.0
19293032NAPALE,1929-30,32,15/06/1930,NAPOLI,ALESSANDRIA,3.0,1.0
19293032PROPRO,1929-30,32,15/06/1930,PRO VERCELLI,PRO PATRIA,0.0,0.0
19293032ROMTOR,1929-30,32,15/06/1930,ROMA,TORINO,3.0,0.0
19293032TRIMIL,1929-30,32,15/06/1930,TRIESTINA,MILAN,2.0,2.0
19293033ALEMOD,1929-30,33,29/06/1930,ALESSANDRIA,MODENA,1.0,1.0
19293033BOLROM,1929-30,33,29/06/1930,BOLOGNA,ROMA,5.0,2.0
19293033BRECRE,1929-30,33,29/06/1930,BRESCIA,CREMONESE,4.0,3.0
19293033GENLIV,1929-30,33,29/06/1930,GENOA,LIVORNO,2.0,0.0
19293033INTJUV,1929-30,33,29/06/1930,INTER,JUVENTUS,2.0,0.0
